
Insertion Sort:
Size | Time
967 |  0.00 seconds
968 |  0.00 seconds
969 |  0.00 seconds
970 |  0.00 seconds
971 |  0.00 seconds
972 |  0.00 seconds
973 |  0.00 seconds
974 |  0.00 seconds
975 |  0.00 seconds
976 |  0.00 seconds
977 |  0.00 seconds
978 |  0.00 seconds
979 |  0.00 seconds
980 |  0.00 seconds
981 |  0.00 seconds
982 |  0.00 seconds
983 |  0.00 seconds
984 |  0.02 seconds
985 |  0.00 seconds
986 |  0.00 seconds
987 |  0.00 seconds
988 |  0.00 seconds
989 |  0.00 seconds
990 |  0.00 seconds
991 |  0.00 seconds
992 |  0.00 seconds
993 |  0.00 seconds
994 |  0.00 seconds
995 |  0.00 seconds
996 |  0.00 seconds
997 |  0.00 seconds
998 |  0.00 seconds
999 |  0.00 seconds
1000 |  0.00 seconds
1001 |  0.00 seconds
1002 |  0.00 seconds
1003 |  0.00 seconds
1004 |  0.00 seconds
1005 |  0.00 seconds
1006 |  0.00 seconds
1007 |  0.00 seconds
1008 |  0.00 seconds
1009 |  0.00 seconds
1010 |  0.00 seconds
1011 |  0.00 seconds
1012 |  0.00 seconds
1013 |  0.01 seconds
1014 |  0.00 seconds
1015 |  0.00 seconds
1016 |  0.00 seconds
1017 |  0.00 seconds
1018 |  0.00 seconds
1019 |  0.00 seconds
1020 |  0.00 seconds
1021 |  0.00 seconds
1022 |  0.00 seconds
1023 |  0.00 seconds

Quick Sort:
Size | Time
-----|------
8 |  0.00 seconds
16 |  0.00 seconds
32 |  0.00 seconds
64 |  0.00 seconds
128 |  0.00 seconds
256 |  0.00 seconds
512 |  0.00 seconds
1024 |  0.00 seconds
2048 |  0.00 seconds
4096 |  0.00 seconds
8192 |  0.01 seconds
16384 |  0.00 seconds
32768 |  0.00 seconds
65536 |  0.01 seconds
131072 |  0.02 seconds
262144 |  0.03 seconds
524288 |  0.05 seconds
1048576 |  0.13 seconds

Merged Sort:
Size | Time
-----|------
8 |  0.00 seconds
16 |  0.00 seconds
32 |  0.00 seconds
64 |  0.00 seconds
128 |  0.00 seconds
256 |  0.00 seconds
512 |  0.00 seconds
1024 |  0.00 seconds
2048 |  0.02 seconds
4096 |  0.00 seconds
8192 |  0.01 seconds
16384 |  0.03 seconds
32768 |  0.08 seconds
65536 |  0.14 seconds
131072 |  0.31 seconds
262144 |  0.66 seconds
524288 |  1.36 seconds
1048576 |  2.97 seconds
